date,Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate,State
2012-01-01,2012,Jan,58.3,53.4,2179750.0,1993523.0,186227.0,8.5,Alabama
2012-02-01,2012,Feb,58.2,53.3,2175635.0,1992089.0,183546.0,8.4,Alabama
2012-03-01,2012,Mar,58.1,53.2,2173644.0,1991104.0,182540.0,8.4,Alabama
2012-04-01,2012,Apr,58.1,53.2,2173494.0,1991037.0,182457.0,8.4,Alabama
2012-05-01,2012,May,58.1,53.2,2174754.0,1992484.0,182270.0,8.4,Alabama
2012-06-01,2012,Jun,58.1,53.3,2176818.0,1995546.0,181272.0,8.3,Alabama
2012-07-01,2012,Jul,58.2,53.4,2178985.0,1999860.0,179125.0,8.2,Alabama
2012-08-01,2012,Aug,58.2,53.5,2180942.0,2004716.0,176226.0,8.1,Alabama
2012-09-01,2012,Sep,58.2,53.6,2182771.0,2009352.0,173419.0,7.9,Alabama
2012-10-01,2012,Oct,58.2,53.6,2184006.0,2012918.0,171088.0,7.8,Alabama
2012-11-01,2012,Nov,58.2,53.7,2184400.0,2015057.0,169343.0,7.8,Alabama
2012-12-01,2012,Dec,58.1,53.7,2183700.0,2015725.0,167975.0,7.7,Alabama
2013-01-01,2013,Jan,58.1,53.6,2181651.0,2015043.0,166608.0,7.6,Alabama
2013-02-01,2013,Feb,58.0,53.6,2178756.0,2013876.0,164880.0,7.6,Alabama
2013-03-01,2013,Mar,57.9,53.5,2175993.0,2013323.0,162670.0,7.5,Alabama
2013-04-01,2013,Apr,57.8,53.5,2174613.0,2014210.0,160403.0,7.4,Alabama
2013-05-01,2013,May,57.8,53.6,2174482.0,2015808.0,158674.0,7.3,Alabama
2013-06-01,2013,Jun,57.8,53.6,2174677.0,2016898.0,157779.0,7.3,Alabama
2013-07-01,2013,Jul,57.7,53.5,2174320.0,2016720.0,157600.0,7.2,Alabama
2013-08-01,2013,Aug,57.7,53.5,2172637.0,2015204.0,157433.0,7.2,Alabama
2013-09-01,2013,Sep,57.6,53.4,2169847.0,2013022.0,156825.0,7.2,Alabama
2013-10-01,2013,Oct,57.5,53.3,2167230.0,2011093.0,156137.0,7.2,Alabama
2013-11-01,2013,Nov,57.4,53.3,2165715.0,2010028.0,155687.0,7.2,Alabama
2013-12-01,2013,Dec,57.4,53.2,2165388.0,2009949.0,155439.0,7.2,Alabama
2014-01-01,2014,Jan,57.4,53.3,2165971.0,2010942.0,155029.0,7.2,Alabama
2014-02-01,2014,Feb,57.4,53.3,2166876.0,2012653.0,154223.0,7.1,Alabama
2014-03-01,2014,Mar,57.4,53.3,2167429.0,2014263.0,153166.0,7.1,Alabama
2014-04-01,2014,Apr,57.3,53.3,2166887.0,2015052.0,151835.0,7.0,Alabama
2014-05-01,2014,May,57.3,53.3,2165427.0,2015410.0,150017.0,6.9,Alabama
2014-06-01,2014,Jun,57.2,53.3,2164102.0,2016249.0,147853.0,6.8,Alabama
2014-07-01,2014,Jul,57.2,53.3,2163245.0,2017648.0,145597.0,6.7,Alabama
2014-08-01,2014,Aug,57.1,53.4,2162943.0,2019514.0,143429.0,6.6,Alabama
2014-09-01,2014,Sep,57.1,53.4,2162865.0,2021615.0,141250.0,6.5,Alabama
2014-10-01,2014,Oct,57.1,53.4,2162682.0,2023989.0,138693.0,6.4,Alabama
2014-11-01,2014,Nov,57.1,53.5,2162723.0,2026910.0,135813.0,6.3,Alabama
2014-12-01,2014,Dec,57.1,53.6,2163996.0,2030603.0,133393.0,6.2,Alabama
2015-01-01,2015,Jan,57.1,53.6,2166771.0,2034786.0,131985.0,6.1,Alabama
2015-02-01,2015,Feb,57.2,53.7,2170601.0,2038928.0,131673.0,6.1,Alabama
2015-03-01,2015,Mar,57.3,53.8,2174960.0,2042936.0,132024.0,6.1,Alabama
2015-04-01,2015,Apr,57.2,53.7,2170166.0,2037552.0,132614.0,6.1,Alabama
2015-05-01,2015,May,57.0,53.5,2164519.0,2031470.0,133049.0,6.1,Alabama
2015-06-01,2015,Jun,56.8,53.3,2157472.0,2024484.0,132988.0,6.2,Alabama
2015-07-01,2015,Jul,56.6,53.1,2149701.0,2017218.0,132483.0,6.2,Alabama
2015-08-01,2015,Aug,56.4,52.9,2142296.0,2010491.0,131805.0,6.2,Alabama
2015-09-01,2015,Sep,56.2,52.7,2136055.0,2004972.0,131083.0,6.1,Alabama
2015-10-01,2015,Oct,56.1,52.7,2135797.0,2005232.0,130565.0,6.1,Alabama
2015-11-01,2015,Nov,55.9,52.5,2127937.0,1997567.0,130370.0,6.1,Alabama
2015-12-01,2015,Dec,56.0,52.6,2133700.0,2003525.0,130175.0,6.1,Alabama
2016-01-01,2016,Jan,56.2,52.8,2138981.0,2009234.0,129747.0,6.1,Alabama
2016-02-01,2016,Feb,56.3,52.9,2143456.0,2014380.0,129076.0,6.0,Alabama
2016-03-01,2016,Mar,56.3,53.0,2146821.0,2018777.0,128044.0,6.0,Alabama
2016-04-01,2016,Apr,56.4,53.0,2149261.0,2022346.0,126915.0,5.9,Alabama
2016-05-01,2016,May,56.4,53.1,2151573.0,2025350.0,126223.0,5.9,Alabama
2016-06-01,2016,Jun,56.5,53.2,2154315.0,2028210.0,126105.0,5.9,Alabama
2016-07-01,2016,Jul,56.5,53.2,2157474.0,2031143.0,126331.0,5.9,Alabama
2016-08-01,2016,Aug,56.6,53.3,2160744.0,2034025.0,126719.0,5.9,Alabama
2016-09-01,2016,Sep,56.6,53.3,2163777.0,2036649.0,127128.0,5.9,Alabama
2016-10-01,2016,Oct,56.7,53.3,2166110.0,2039127.0,126983.0,5.9,Alabama
2016-11-01,2016,Nov,56.7,53.4,2167734.0,2042073.0,125661.0,5.8,Alabama
2016-12-01,2016,Dec,56.7,53.5,2168771.0,2045834.0,122937.0,5.7,Alabama
2017-01-01,2017,Jan,56.7,53.6,2199177.0,2079074.0,120103.0,5.5,Alabama
2017-02-01,2017,Feb,56.7,53.7,2199698.0,2084290.0,115408.0,5.2,Alabama
2017-03-01,2017,Mar,56.7,53.8,2200069.0,2089481.0,110588.0,5.0,Alabama
2017-04-01,2017,Apr,56.7,53.9,2200718.0,2094737.0,105981.0,4.8,Alabama
2017-05-01,2017,May,56.7,54.0,2201642.0,2100033.0,101609.0,4.6,Alabama
2017-06-01,2017,Jun,56.7,54.1,2202497.0,2104727.0,97770.0,4.4,Alabama
2017-07-01,2017,Jul,56.6,54.2,2203232.0,2108489.0,94743.0,4.3,Alabama
2017-08-01,2017,Aug,56.6,54.2,2203843.0,2111469.0,92374.0,4.2,Alabama
2017-09-01,2017,Sep,56.6,54.3,2204575.0,2114006.0,90569.0,4.1,Alabama
2017-10-01,2017,Oct,56.6,54.3,2205842.0,2116522.0,89320.0,4.0,Alabama
2017-11-01,2017,Nov,56.6,54.4,2207993.0,2119284.0,88709.0,4.0,Alabama
2017-12-01,2017,Dec,56.7,54.4,2211270.0,2122773.0,88497.0,4.0,Alabama
2018-01-01,2018,Jan,56.8,54.5,2215937.0,2127350.0,88587.0,4.0,Alabama
2018-02-01,2018,Feb,56.9,54.7,2222103.0,2133317.0,88786.0,4.0,Alabama
2018-03-01,2018,Mar,57.1,54.8,2228853.0,2139997.0,88856.0,4.0,Alabama
2018-04-01,2018,Apr,57.2,54.9,2234574.0,2145919.0,88655.0,4.0,Alabama
2018-05-01,2018,May,57.3,55.0,2238465.0,2150167.0,88298.0,3.9,Alabama
2018-06-01,2018,Jun,57.3,55.1,2240876.0,2153088.0,87788.0,3.9,Alabama
2018-07-01,2018,Jul,57.3,55.1,2242350.0,2155244.0,87106.0,3.9,Alabama
2018-08-01,2018,Aug,57.3,55.1,2243996.0,2157370.0,86626.0,3.9,Alabama
2018-09-01,2018,Sep,57.4,55.1,2246632.0,2160101.0,86531.0,3.9,Alabama
2018-10-01,2018,Oct,57.4,55.2,2250621.0,2163967.0,86654.0,3.9,Alabama
2018-11-01,2018,Nov,57.5,55.3,2255669.0,2168950.0,86719.0,3.8,Alabama
2018-12-01,2018,Dec,57.6,55.4,2261102.0,2174814.0,86288.0,3.8,Alabama
2019-01-01,2019,Jan,57.7,55.6,2265764.0,2180940.0,84824.0,3.7,Alabama
2019-02-01,2019,Feb,57.8,55.7,2268650.0,2186701.0,81949.0,3.6,Alabama
2019-03-01,2019,Mar,57.8,55.8,2269750.0,2191746.0,78004.0,3.4,Alabama
2019-04-01,2019,Apr,57.8,55.9,2269762.0,2196117.0,73645.0,3.2,Alabama
2019-05-01,2019,May,57.7,56.0,2269477.0,2199812.0,69665.0,3.1,Alabama
2019-06-01,2019,Jun,57.7,56.0,2269511.0,2202685.0,66826.0,2.9,Alabama
2019-07-01,2019,Jul,57.7,56.0,2270281.0,2204772.0,65509.0,2.9,Alabama
2019-08-01,2019,Aug,57.7,56.0,2271806.0,2206223.0,65583.0,2.9,Alabama
2019-09-01,2019,Sep,57.7,56.0,2273771.0,2207294.0,66477.0,2.9,Alabama
2019-10-01,2019,Oct,57.7,56.0,2275680.0,2207568.0,68112.0,3.0,Alabama
2019-11-01,2019,Nov,57.7,55.9,2276674.0,2206498.0,70176.0,3.1,Alabama
2019-12-01,2019,Dec,57.6,55.8,2275425.0,2202912.0,72513.0,3.2,Alabama
2020-01-01,2020,Jan,57.5,55.6,2271707.0,2196647.0,75060.0,3.3,Alabama
2020-02-01,2020,Feb,57.4,55.4,2266396.0,2188425.0,77971.0,3.4,Alabama
2020-03-01,2020,Mar,57.2,55.2,2261366.0,2180272.0,81094.0,3.6,Alabama
2020-04-01,2020,Apr,55.4,47.8,2189708.0,1890788.0,298920.0,13.7,Alabama
2020-05-01,2020,May,57.4,51.5,2270749.0,2035223.0,235526.0,10.4,Alabama
2020-06-01,2020,Jun,57.5,52.5,2276235.0,2077480.0,198755.0,8.7,Alabama
2020-07-01,2020,Jul,57.8,53.4,2287268.0,2111266.0,176002.0,7.7,Alabama
2020-08-01,2020,Aug,57.7,53.9,2285319.0,2134930.0,150389.0,6.6,Alabama
2020-09-01,2020,Sep,57.8,54.3,2290413.0,2151241.0,139172.0,6.1,Alabama
2020-10-01,2020,Oct,57.5,54.5,2280554.0,2159691.0,120863.0,5.3,Alabama
2020-11-01,2020,Nov,57.3,54.6,2271915.0,2162940.0,108975.0,4.8,Alabama
2020-12-01,2020,Dec,57.1,54.6,2263225.0,2163877.0,99348.0,4.4,Alabama
2021-01-01,2021,Jan,56.9,54.6,2255058.0,2164668.0,90390.0,4.0,Alabama
2021-02-01,2021,Feb,56.8,54.6,2251260.0,2166202.0,85058.0,3.8,Alabama
2021-03-01,2021,Mar,56.7,54.6,2250687.0,2168244.0,82443.0,3.7,Alabama
2021-04-01,2021,Apr,56.7,54.7,2251194.0,2169595.0,81599.0,3.6,Alabama
2021-05-01,2021,May,56.7,54.6,2249901.0,2169710.0,80191.0,3.6,Alabama
2021-06-01,2021,Jun,56.6,54.6,2247768.0,2168329.0,79439.0,3.5,Alabama
2021-07-01,2021,Jul,56.5,54.5,2244144.0,2167068.0,77076.0,3.4,Alabama
2021-08-01,2021,Aug,56.3,54.5,2241293.0,2166788.0,74505.0,3.3,Alabama
2021-09-01,2021,Sep,56.3,54.5,2240353.0,2168364.0,71989.0,3.2,Alabama
2021-10-01,2021,Oct,56.3,54.5,2241442.0,2170873.0,70569.0,3.1,Alabama
2021-11-01,2021,Nov,56.2,54.5,2242078.0,2172390.0,69688.0,3.1,Alabama
2021-12-01,2021,Dec,56.2,54.5,2242275.0,2172841.0,69434.0,3.1,Alabama
2022-01-01,2022,Jan,56.4,54.7,2250379.0,2181238.0,69141.0,3.1,Alabama
2012-01-01,2012,Jan,61.3,56.0,3048161.0,2782738.0,265423.0,8.7,Arizona
2012-02-01,2012,Feb,61.3,56.0,3048882.0,2786310.0,262572.0,8.6,Arizona
2012-03-01,2012,Mar,61.2,56.0,3050044.0,2789251.0,260793.0,8.6,Arizona
2012-04-01,2012,Apr,61.2,56.0,3051345.0,2791656.0,259689.0,8.5,Arizona
2012-05-01,2012,May,61.1,55.9,3052719.0,2794227.0,258492.0,8.5,Arizona
2012-06-01,2012,Jun,61.0,55.9,3054066.0,2797416.0,256650.0,8.4,Arizona
2012-07-01,2012,Jul,61.0,55.9,3055366.0,2801303.0,254063.0,8.3,Arizona
2012-08-01,2012,Aug,60.9,55.9,3056822.0,2805561.0,251261.0,8.2,Arizona
2012-09-01,2012,Sep,60.9,55.9,3058702.0,2809750.0,248952.0,8.1,Arizona
2012-10-01,2012,Oct,60.8,55.9,3060209.0,2812844.0,247365.0,8.1,Arizona
2012-11-01,2012,Nov,60.8,55.9,3060910.0,2814217.0,246693.0,8.1,Arizona
2012-12-01,2012,Dec,60.7,55.8,3060362.0,2813704.0,246658.0,8.1,Arizona
2013-01-01,2013,Jan,60.6,55.7,3058620.0,2811785.0,246835.0,8.1,Arizona
2013-02-01,2013,Feb,60.5,55.6,3056893.0,2810201.0,246692.0,8.1,Arizona
2013-03-01,2013,Mar,60.4,55.5,3056334.0,2810619.0,245715.0,8.0,Arizona
2013-04-01,2013,Apr,60.3,55.5,3057784.0,2813639.0,244145.0,8.0,Arizona
2013-05-01,2013,May,60.3,55.5,3060694.0,2818192.0,242502.0,7.9,Arizona
2013-06-01,2013,Jun,60.3,55.6,3064094.0,2822985.0,241109.0,7.9,Arizona
2013-07-01,2013,Jul,60.3,55.6,3067255.0,2827358.0,239897.0,7.8,Arizona
2013-08-01,2013,Aug,60.2,55.6,3069196.0,2831079.0,238117.0,7.8,Arizona
2013-09-01,2013,Sep,60.2,55.5,3069703.0,2834283.0,235420.0,7.7,Arizona
2013-10-01,2013,Oct,60.1,55.5,3070375.0,2837884.0,232491.0,7.6,Arizona
2013-11-01,2013,Nov,60.0,55.5,3072551.0,2843115.0,229436.0,7.5,Arizona
2013-12-01,2013,Dec,60.0,55.6,3076382.0,2850146.0,226236.0,7.4,Arizona
2014-01-01,2014,Jan,60.0,55.7,3081484.0,2858474.0,223010.0,7.2,Arizona
2014-02-01,2014,Feb,60.0,55.8,3087246.0,2867319.0,219927.0,7.1,Arizona
2014-03-01,2014,Mar,60.1,55.8,3093246.0,2875911.0,217335.0,7.0,Arizona
2014-04-01,2014,Apr,60.1,55.9,3098896.0,2883663.0,215233.0,6.9,Arizona
2014-05-01,2014,May,60.1,56.0,3104438.0,2891087.0,213351.0,6.9,Arizona
2014-06-01,2014,Jun,60.1,56.1,3110915.0,2899220.0,211695.0,6.8,Arizona
2014-07-01,2014,Jul,60.2,56.1,3118643.0,2908222.0,210421.0,6.7,Arizona
2014-08-01,2014,Aug,60.3,56.2,3127937.0,2918301.0,209636.0,6.7,Arizona
2014-09-01,2014,Sep,60.4,56.3,3138216.0,2929099.0,209117.0,6.7,Arizona
2014-10-01,2014,Oct,60.4,56.4,3147375.0,2939396.0,207979.0,6.6,Arizona
2014-11-01,2014,Nov,60.5,56.5,3153926.0,2947951.0,205975.0,6.5,Arizona
2014-12-01,2014,Dec,60.5,56.6,3158664.0,2954989.0,203675.0,6.4,Arizona
2015-01-01,2015,Jan,60.4,56.6,3162393.0,2961081.0,201312.0,6.4,Arizona
2015-02-01,2015,Feb,60.4,56.6,3165741.0,2966433.0,199308.0,6.3,Arizona
2015-03-01,2015,Mar,60.4,56.6,3169469.0,2971786.0,197683.0,6.2,Arizona
2015-04-01,2015,Apr,60.4,56.7,3174046.0,2977647.0,196399.0,6.2,Arizona
2015-05-01,2015,May,60.4,56.7,3179024.0,2983595.0,195429.0,6.1,Arizona
2015-06-01,2015,Jun,60.4,56.7,3183495.0,2988875.0,194620.0,6.1,Arizona
2015-07-01,2015,Jul,60.4,56.7,3187178.0,2993303.0,193875.0,6.1,Arizona
2015-08-01,2015,Aug,60.3,56.7,3190286.0,2997349.0,192937.0,6.0,Arizona
2015-09-01,2015,Sep,60.3,56.7,3193508.0,3002093.0,191415.0,6.0,Arizona
2015-10-01,2015,Oct,60.3,56.7,3198236.0,3008840.0,189396.0,5.9,Arizona
2015-11-01,2015,Nov,60.3,56.8,3204955.0,3017642.0,187313.0,5.8,Arizona
2015-12-01,2015,Dec,60.3,56.8,3212709.0,3027448.0,185261.0,5.8,Arizona
2016-01-01,2016,Jan,60.4,56.9,3220542.0,3037144.0,183398.0,5.7,Arizona
2016-02-01,2016,Feb,60.4,57.0,3227960.0,3046025.0,181935.0,5.6,Arizona
2016-03-01,2016,Mar,60.4,57.1,3234359.0,3053620.0,180739.0,5.6,Arizona
2016-04-01,2016,Apr,60.4,57.1,3239833.0,3059997.0,179836.0,5.6,Arizona
2016-05-01,2016,May,60.4,57.1,3245197.0,3065928.0,179269.0,5.5,Arizona
2016-06-01,2016,Jun,60.4,57.1,3250898.0,3072085.0,178813.0,5.5,Arizona
2016-07-01,2016,Jul,60.4,57.1,3256816.0,3078706.0,178110.0,5.5,Arizona
2016-08-01,2016,Aug,60.4,57.2,3262727.0,3085510.0,177217.0,5.4,Arizona
2016-09-01,2016,Sep,60.4,57.2,3268544.0,3092046.0,176498.0,5.4,Arizona
2016-10-01,2016,Oct,60.4,57.2,3274187.0,3098339.0,175848.0,5.4,Arizona
2016-11-01,2016,Nov,60.4,57.2,3280006.0,3105116.0,174890.0,5.3,Arizona
2016-12-01,2016,Dec,60.5,57.3,3286375.0,3112781.0,173594.0,5.3,Arizona
2017-01-01,2017,Jan,60.5,57.3,3207827.0,3040381.0,167446.0,5.2,Arizona
2017-02-01,2017,Feb,60.5,57.4,3214755.0,3049108.0,165647.0,5.2,Arizona
2017-03-01,2017,Mar,60.6,57.5,3222018.0,3058180.0,163838.0,5.1,Arizona
2017-04-01,2017,Apr,60.7,57.6,3229183.0,3067067.0,162116.0,5.0,Arizona
2017-05-01,2017,May,60.7,57.7,3235526.0,3075187.0,160339.0,5.0,Arizona
2017-06-01,2017,Jun,60.7,57.8,3240691.0,3081904.0,158787.0,4.9,Arizona
2017-07-01,2017,Jul,60.7,57.8,3245145.0,3087275.0,157870.0,4.9,Arizona
2017-08-01,2017,Aug,60.7,57.8,3248948.0,3091379.0,157569.0,4.8,Arizona
2017-09-01,2017,Sep,60.7,57.7,3252264.0,3094480.0,157784.0,4.9,Arizona
2017-10-01,2017,Oct,60.6,57.7,3255727.0,3097498.0,158229.0,4.9,Arizona
2017-11-01,2017,Nov,60.6,57.7,3260024.0,3101312.0,158712.0,4.9,Arizona
2017-12-01,2017,Dec,60.7,57.7,3265952.0,3107262.0,158690.0,4.9,Arizona
2018-01-01,2018,Jan,60.7,57.8,3273805.0,3115713.0,158092.0,4.8,Arizona
2018-02-01,2018,Feb,60.8,57.9,3283642.0,3126500.0,157142.0,4.8,Arizona
2018-03-01,2018,Mar,60.9,58.1,3294609.0,3138598.0,156011.0,4.7,Arizona
2018-04-01,2018,Apr,61.1,58.2,3305181.0,3150198.0,154983.0,4.7,Arizona
2018-05-01,2018,May,61.2,58.3,3314729.0,3160051.0,154678.0,4.7,Arizona
2018-06-01,2018,Jun,61.2,58.4,3323615.0,3168258.0,155357.0,4.7,Arizona
2018-07-01,2018,Jul,61.3,58.4,3332174.0,3175224.0,156950.0,4.7,Arizona
2018-08-01,2018,Aug,61.4,58.4,3341526.0,3181911.0,159615.0,4.8,Arizona
2018-09-01,2018,Sep,61.4,58.5,3351981.0,3188931.0,163050.0,4.9,Arizona
2018-10-01,2018,Oct,61.5,58.5,3362689.0,3196310.0,166379.0,4.9,Arizona
2018-11-01,2018,Nov,61.6,58.5,3372618.0,3203916.0,168702.0,5.0,Arizona
2018-12-01,2018,Dec,61.7,58.6,3381265.0,3211697.0,169568.0,5.0,Arizona
2019-01-01,2019,Jan,61.7,58.6,3388861.0,3219772.0,169089.0,5.0,Arizona
2019-02-01,2019,Feb,61.8,58.7,3395900.0,3228407.0,167493.0,4.9,Arizona
2019-03-01,2019,Mar,61.8,58.8,3403114.0,3237376.0,165738.0,4.9,Arizona
2019-04-01,2019,Apr,61.9,58.9,3411191.0,3246786.0,164405.0,4.8,Arizona
2019-05-01,2019,May,61.9,59.0,3419960.0,3256037.0,163923.0,4.8,Arizona
2019-06-01,2019,Jun,62.0,59.0,3429122.0,3264545.0,164577.0,4.8,Arizona
2019-07-01,2019,Jul,62.1,59.1,3438010.0,3271994.0,166016.0,4.8,Arizona
2019-08-01,2019,Aug,62.1,59.1,3446052.0,3278754.0,167298.0,4.9,Arizona
2019-09-01,2019,Sep,62.1,59.1,3453772.0,3286299.0,167473.0,4.8,Arizona
2019-10-01,2019,Oct,62.1,59.1,3462324.0,3294676.0,167648.0,4.8,Arizona
2019-11-01,2019,Nov,62.2,59.2,3471514.0,3302812.0,168702.0,4.9,Arizona
2019-12-01,2019,Dec,62.2,59.2,3478699.0,3308073.0,170626.0,4.9,Arizona
2020-01-01,2020,Jan,62.2,59.1,3481405.0,3308621.0,172784.0,5.0,Arizona
2020-02-01,2020,Feb,62.0,58.9,3479167.0,3304189.0,174978.0,5.0,Arizona
2020-03-01,2020,Mar,61.8,58.7,3474013.0,3297225.0,176788.0,5.1,Arizona
2020-04-01,2020,Apr,60.3,51.9,3393096.0,2919929.0,473167.0,13.9,Arizona
2020-05-01,2020,May,60.9,54.2,3432853.0,3053663.0,379190.0,11.0,Arizona
2020-06-01,2020,Jun,60.7,54.9,3426571.0,3101634.0,324937.0,9.5,Arizona
2020-07-01,2020,Jul,60.9,55.6,3442991.0,3147185.0,295806.0,8.6,Arizona
2020-08-01,2020,Aug,60.8,56.2,3447119.0,3184361.0,262758.0,7.6,Arizona
2020-09-01,2020,Sep,61.1,56.6,3465285.0,3214835.0,250450.0,7.2,Arizona
2020-10-01,2020,Oct,61.0,56.9,3469010.0,3235644.0,233366.0,6.7,Arizona
2020-11-01,2020,Nov,61.0,57.1,3475251.0,3250125.0,225126.0,6.5,Arizona
2020-12-01,2020,Dec,61.1,57.2,3482051.0,3261175.0,220876.0,6.3,Arizona
2021-01-01,2021,Jan,61.1,57.3,3486137.0,3272202.0,213935.0,6.1,Arizona
2021-02-01,2021,Feb,61.1,57.5,3494553.0,3284849.0,209704.0,6.0,Arizona
2021-03-01,2021,Mar,61.2,57.6,3503517.0,3299435.0,204082.0,5.8,Arizona
2021-04-01,2021,Apr,61.3,57.8,3512702.0,3314631.0,198071.0,5.6,Arizona
2021-05-01,2021,May,61.3,58.0,3519581.0,3329319.0,190262.0,5.4,Arizona
2021-06-01,2021,Jun,61.3,58.1,3525185.0,3342335.0,182850.0,5.2,Arizona
2021-07-01,2021,Jul,61.2,58.2,3527687.0,3355550.0,172137.0,4.9,Arizona
2021-08-01,2021,Aug,61.1,58.4,3528408.0,3368401.0,160007.0,4.5,Arizona
2021-09-01,2021,Sep,61.0,58.5,3528812.0,3381004.0,147808.0,4.2,Arizona
2021-10-01,2021,Oct,60.9,58.5,3530300.0,3391431.0,138869.0,3.9,Arizona
2021-11-01,2021,Nov,60.8,58.5,3530829.0,3394228.0,136601.0,3.9,Arizona
2021-12-01,2021,Dec,60.7,58.4,3531104.0,3394307.0,136797.0,3.9,Arizona
2022-01-01,2022,Jan,60.7,58.5,3536384.0,3406649.0,129735.0,3.7,Arizona
2012-01-01,2012,Jan,69.3,63.5,2747283.0,2517729.0,229554.0,8.4,Colorado
2012-02-01,2012,Feb,69.2,63.4,2744941.0,2517116.0,227825.0,8.3,Colorado
2012-03-01,2012,Mar,69.1,63.3,2743601.0,2516649.0,226952.0,8.3,Colorado
2012-04-01,2012,Apr,69.0,63.3,2743294.0,2516847.0,226447.0,8.3,Colorado
2012-05-01,2012,May,68.9,63.2,2744233.0,2518570.0,225663.0,8.2,Colorado
2012-06-01,2012,Jun,68.8,63.2,2746042.0,2521989.0,224053.0,8.2,Colorado
2012-07-01,2012,Jul,68.8,63.2,2748077.0,2526809.0,221268.0,8.1,Colorado
2012-08-01,2012,Aug,68.7,63.3,2750560.0,2532901.0,217659.0,7.9,Colorado
2012-09-01,2012,Sep,68.7,63.4,2753956.0,2539967.0,213989.0,7.8,Colorado
2012-10-01,2012,Oct,68.7,63.4,2757466.0,2546891.0,210575.0,7.6,Colorado
2012-11-01,2012,Nov,68.7,63.5,2760368.0,2552987.0,207381.0,7.5,Colorado
2012-12-01,2012,Dec,68.6,63.5,2762211.0,2558031.0,204180.0,7.4,Colorado
2013-01-01,2013,Jan,68.5,63.5,2762675.0,2561687.0,200988.0,7.3,Colorado
2013-02-01,2013,Feb,68.4,63.5,2762415.0,2564483.0,197932.0,7.2,Colorado
2013-03-01,2013,Mar,68.3,63.5,2762705.0,2567602.0,195103.0,7.1,Colorado
2013-04-01,2013,Apr,68.3,63.5,2764238.0,2571622.0,192616.0,7.0,Colorado
2013-05-01,2013,May,68.2,63.5,2766305.0,2575647.0,190658.0,6.9,Colorado
2013-06-01,2013,Jun,68.2,63.5,2768303.0,2579085.0,189218.0,6.8,Colorado
2013-07-01,2013,Jul,68.1,63.5,2769662.0,2581932.0,187730.0,6.8,Colorado
2013-08-01,2013,Aug,68.0,63.4,2769322.0,2584166.0,185156.0,6.7,Colorado
2013-09-01,2013,Sep,67.8,63.4,2767570.0,2586419.0,181151.0,6.5,Colorado
2013-10-01,2013,Oct,67.7,63.4,2766264.0,2589867.0,176397.0,6.4,Colorado
2013-11-01,2013,Nov,67.6,63.4,2767651.0,2595558.0,172093.0,6.2,Colorado
2013-12-01,2013,Dec,67.6,63.5,2772177.0,2603433.0,168744.0,6.1,Colorado
2014-01-01,2014,Jan,67.7,63.6,2778644.0,2613030.0,165614.0,6.0,Colorado
2014-02-01,2014,Feb,67.8,63.8,2785590.0,2623718.0,161872.0,5.8,Colorado
2014-03-01,2014,Mar,67.8,64.0,2791859.0,2634418.0,157441.0,5.6,Colorado
2014-04-01,2014,Apr,67.8,64.1,2796320.0,2644060.0,152260.0,5.4,Colorado
2014-05-01,2014,May,67.8,64.2,2799033.0,2652822.0,146211.0,5.2,Colorado
2014-06-01,2014,Jun,67.7,64.3,2800957.0,2661226.0,139731.0,5.0,Colorado
2014-07-01,2014,Jul,67.6,64.4,2802732.0,2669021.0,133711.0,4.8,Colorado
2014-08-01,2014,Aug,67.6,64.5,2805239.0,2676304.0,128935.0,4.6,Colorado
2014-09-01,2014,Sep,67.5,64.5,2808186.0,2682837.0,125349.0,4.5,Colorado
2014-10-01,2014,Oct,67.4,64.5,2810762.0,2688227.0,122535.0,4.4,Colorado
2014-11-01,2014,Nov,67.3,64.5,2811968.0,2691945.0,120023.0,4.3,Colorado
2014-12-01,2014,Dec,67.2,64.4,2812244.0,2694387.0,117857.0,4.2,Colorado
2015-01-01,2015,Jan,67.1,64.3,2812740.0,2696305.0,116435.0,4.1,Colorado
2015-02-01,2015,Feb,67.0,64.3,2813690.0,2698184.0,115506.0,4.1,Colorado
2015-03-01,2015,Mar,66.9,64.2,2815196.0,2700859.0,114337.0,4.1,Colorado
2015-04-01,2015,Apr,66.9,64.2,2817304.0,2704794.0,112510.0,4.0,Colorado
2015-05-01,2015,May,66.8,64.2,2819533.0,2709579.0,109954.0,3.9,Colorado
2015-06-01,2015,Jun,66.7,64.2,2821315.0,2714525.0,106790.0,3.8,Colorado
2015-07-01,2015,Jul,66.6,64.2,2823037.0,2719557.0,103480.0,3.7,Colorado
2015-08-01,2015,Aug,66.5,64.2,2825443.0,2724952.0,100491.0,3.6,Colorado
2015-09-01,2015,Sep,66.5,64.2,2829407.0,2731343.0,98064.0,3.5,Colorado
2015-10-01,2015,Oct,66.5,64.3,2835695.0,2739313.0,96382.0,3.4,Colorado
2015-11-01,2015,Nov,66.6,64.4,2844179.0,2748716.0,95463.0,3.4,Colorado
2015-12-01,2015,Dec,66.7,64.5,2853704.0,2758635.0,95069.0,3.3,Colorado
2016-01-01,2016,Jan,66.8,64.6,2862652.0,2767788.0,94864.0,3.3,Colorado
